Date,Open,High,Low,Close,Variation,Volume
2000-01-03,1.5,1.5,1.5,1.5,0.0,1000
2000-01-04,1.5,1.5,1.5,1.5,0.0,0
2000-01-05,1.5,1.5,1.5,1.5,0.0,0
2000-01-06,1.5,1.5,1.5,1.5,0.0,0
2000-01-07,1.5,1.5,1.5,1.5,0.0,0
2000-01-10,1.5,1.5,1.5,1.5,0.0,1000
2000-01-11,1.5,1.5,1.5,1.5,0.0,0
2000-01-12,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,1000
2000-01-13,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-14,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-17,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-18,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-19,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-20,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-21,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-24,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-25,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-26,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-27,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-28,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-01-31,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-01,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-02,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-03,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-04,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-07,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-08,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-09,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-10,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-11,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-14,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-15,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-16,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-17,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-18,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-21,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-22,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-23,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-24,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-25,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-28,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-02-29,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-01,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-02,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-03,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-06,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-07,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-08,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-09,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-10,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-13,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-14,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-15,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-16,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-17,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-20,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-21,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-22,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-23,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-24,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-27,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-28,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-29,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-30,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-03-31,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-03,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-04,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-05,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-06,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-07,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-10,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-11,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-12,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-13,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0.0,0
2000-04-14,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,1000
2000-04-17,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-18,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-19,1.0,1.0,1.0,1.0,0.0,1000
2000-04-20,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-21,1.0,1.0,1.0,1.0,0.0,0
2000-04-24,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-25,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-26,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-27,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-04-28,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-01,1.0,1.0,1.0,1.0,0.0,0
2000-05-02,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-03,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-04,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-05,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-08,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-09,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-10,1.0,1.0,1.0,1.0,0.0,0
2000-05-11,1.0,2.0,1.0,1.0,0.0,0
2000-05-12,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-15,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-16,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-17,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-18,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-19,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-22,1.0,1.399999976158142,1.0,1.0,0.0,0
2000-05-23,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-24,1.0,1.090000033378601,1.0,1.0,0.0,0
2000-05-25,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,0.0,10000
2000-05-26,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-29,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-05-30,1.0,1.2999999523162842,1.0,1.0,0.0,0
2000-05-31,1.0,1.2999999523162842,1.0,1.0,0.0,0
2000-06-01,1.0,1.2999999523162842,1.0,1.0,0.0,0
2000-06-02,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-05,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-06,1.0,1.0,1.0,1.0,0.0,0
2000-06-07,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-08,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-09,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-12,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-13,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-14,1.0,1.5800000429153442,1.0,1.0,0.0,0
2000-06-15,1.0,1.0,1.0,1.0,0.0,0
2000-06-16,1.0,1.7999999523162842,1.0,1.0,0.0,0
2000-06-19,1.0,1.7999999523162842,1.0,1.0,0.0,0
2000-06-20,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-21,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-22,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0.0,0
2000-06-23,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-26,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-27,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-28,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-29,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-06-30,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-03,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-04,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-05,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-06,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-07,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-10,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-11,1.100000023841858,1.7999999523162842,1.100000023841858,1.100000023841858,0.0,0
2000-07-12,1.25,1.4299999475479126,1.25,1.4299999475479126,14.399995803832999,2000
2000-07-13,1.100000023841858,1.5,1.100000023841858,1.100000023841858,0.0,0
2000-07-14,1.1100000143051147,1.5,1.1100000143051147,1.1100000143051147,0.0,0
2000-07-17,1.1100000143051147,1.7999999523162842,1.1100000143051147,1.1100000143051147,0.0,0
2000-07-18,1.2599999904632568,1.2599999904632568,1.2599999904632568,1.2599999904632568,0.0,3000
2000-07-19,1.1100000143051147,1.600000023841858,1.1100000143051147,1.1100000143051147,0.0,0
2000-07-20,1.1100000143051147,1.600000023841858,1.1100000143051147,1.1100000143051147,0.0,0
2000-07-21,1.1100000143051147,1.600000023841858,1.1100000143051147,1.1100000143051147,0.0,0
2000-07-24,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0.0,18000
2000-07-25,1.100000023841858,1.649999976158142,1.100000023841858,1.100000023841858,0.0,0
2000-07-26,1.100000023841858,1.649999976158142,1.100000023841858,1.100000023841858,0.0,0
